Repository
openai/codex
ngxson/smolvlm-realtime-webcam
bytedance/deer-flow
apple/ml-fastvlm
mem0ai/mem0
hacksider/Deep-Live-Cam
XiaomiMiMo/MiMo
kortix-ai/suna
bytedance/UI-TARS-desktop
mindverse/Second-Me
NVIDIA/Isaac-GR00T
langchain-ai/ollama-deep-researcher
facebookresearch/vggt
browser-use/browser-use
openai/openai-agents-python
clockworklabs/SpacetimeDB
xpipe-io/xpipe
camel-ai/owl
Tencent/Hunyuan3D-2
NVIDIA/Cosmos
anthropics/claude-code
facebookresearch/sapiens
yangchris11/samurai
roboflow/supervision
apple/ml-depth-pro
NVIDIA/NVFlare
huggingface/gym-genesis
huggingface/lerobot
rerun-io/pi0-lerobot
MarkFzp/act-plus-plus
xbpeng/DeepMimic
jchengai/pluto
thu-ml/RoboticsDiffusionTransformer
robodhruv/visualnav-transformer
JeffreyYH/Awesome-Generalist-Robots-via-Foundation-Models
lucidrains/pi-zero-pytorch
microsoft/CogACT
kyegomez/RoboCAT
zubair-irshad/Awesome-Implicit-NeRF-Robotics
GT-RIPL/Awesome-LLM-Robotics
araffin/robotics-rl-srl
zeroth-robotics/zeroth-bot
kscalelabs/ksim-gym
